11-B-P2	|	B	|	P2	|	13.56821	|	60.00000	|	0.79964	|	18.15080	|	0.79183	|	0.78305	|	11
11-B-P3-1	|	B	|	P3-1	|	13.95465	|	150.00000	|	1.07179	|	18.15080	|	1.06398	|	1.05520	|	11
11-B-P3-2	|	B	|	P3-2	|	13.95465	|	150.00000	|	1.07179	|	18.15080	|	1.06398	|	1.05520	|	11
11-C-R1	|	C	|	R1	|	13.14957	|	4.00000	|	1.02393	|	24.59140	|	1.023928	|	1.023928	|	11
11-C-R2-1	|	C	|	R2-1	|	13.14957	|	5.00000	|	1.02393	|	24.59140	|	1.023928	|	1.023928	|	11
11-C-R2-2	|	C	|	R2-2	|	14.27668	|	6.50000	|	1.14690	|	24.59140	|	1.146903	|	1.146903	|	11
11-C-R2-3	|	C	|	R2-3	|	15.02808	|	8.50000	|	1.38068	|	24.59140	|	1.38068	|	1.38068	|	11
11-C-R3-1	|	C	|	R3-1	|	15.77948	|	15.00000	|	1.87941	|	24.59140	|	1.879411	|	1.879411	|	11
11-C-R3-2	|	C	|	R3-2	|	15.77948	|	20.00000	|	1.97557	|	24.59140	|	1.975569	|	1.975569	|	11
11-C-R3-3	|	C	|	R3-3	|	18.03370	|	30.00000	|	2.66303	|	24.59140	|	2.66303	|	2.66303	|	11
11-C-R3-4	|	C	|	R3-4	|	18.03370	|	60.00000	|	3.01710	|	24.59140	|	3.017096	|	3.017096	|	11
11-C-P1	|	C	|	P1	|	16.40208	|	25.00000	|	1.13510	|	24.59140	|	1.12729	|	1.11851	|	11
11-C-P2	|	C	|	P2	|	16.40208	|	60.00000	|	1.13510	|	24.59140	|	1.12729	|	1.11851	|	11
11-C-P3-1	|	C	|	P3-1	|	17.17495	|	150.00000	|	1.60756	|	24.59140	|	1.59975	|	1.59097	|	11
11-C-P3-2	|	C	|	P3-2	|	17.17495	|	150.00000	|	1.60756	|	24.59140	|	1.59975	|	1.59097	|	11
